uid,source_ip,destination_ip,protocol,service,destination_port,duration,orig_bytes,resp_bytes,orig_pkts,resp_pkts,total_bytes,total_pkts,bytes_per_packet,label,label_text
CZyKa01szk0gGUhQW4,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
CQbhHc4CNLJIquZiSi,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
ColYjk36EWmmqGbVhh,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
CnJCbw3F464XzkRWKg,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
CyAoAn3dvW4x14Qx61,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
CkCEPB1IGyI8rAxXhd,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
CmyCMw4mCro0kwN6h6,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
CSZULs3vegxM23Ora4,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
C36wUV2NessoNVLEd2,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
CfcR272QeeyMnUR2P3,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
C7wTrc4Rcc94xnrihl,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
C2hvE43LUGMVjTWUDi,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
CKpld6X5u2FWbwCY3,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
CNq0074qpr5eUbraxe,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
ChgXMQNeXt1NQh3o8,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
CeVGqY1ycHULUvNa7a,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
CBfO6QYMwdemS5Zu,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
CgoVnm4ohJqczsbNFb,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
CqZdyeT4PyExN6jrg,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
CSZd2t8InmA7zJdAj,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
CtsZOv4UqfoVEoWMU8,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
Cj3OXP3fEkt2YKAI7d,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
Ci4jqY3DHExUSyDV6k,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
CQiqWayadP0PnEOsg,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
CQhpSp1uiuVEN9szUf,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
CPy6xF11NtcEUMwCw4,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
CIjuEk3QhLkfNDOe1c,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
CyuFbv3VX6SXzoqlo,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
CGjOii25MfIYTG887e,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
CkdEkn3rumqqnm63Fb,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
CrUxLj2VKYdEFAgd8i,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
CiVEoC2VpFhaLtvxq3,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
C0FZhs4krTztz9mXxe,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
C927RV1UNP9KEOWUk1,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
CqODjn4hpbhoO7Spo9,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
Cneel809GjKzQbhK9,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
CTv0p81FeyGOIliEab,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
C02kU21Rzeg0eotYX7,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
C0ky6LBukyEZhuuE6,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
CDe4oI8kPhsGhZ3k1,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
Cf4WBt23ZXVieu34Ki,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
C27dPX1gSBDfxfWfG7,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
Cihhw2429pihFFfSOi,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
CAwmwc2hc8mRWHcOq6,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
CDlCsH38UPpfe9uNSd,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
CAZsx812jSJ8z0Y1La,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
CWODtV10rY6DXPsUGd,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
CdotHdVtrusfu4xxf,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
CI3IzSw228LgR190f,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
Cs93m42O766obTFfc2,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
CPhAm71UKEAzR41rJj,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
CIKHv91akPbmEJcs4g,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
CsVUo61fHmy1ba6dRi,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
C5k8Qa3HJwN2X9cpKc,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
CIwOSE2fFQ6SyPHm5i,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
CsmTuRu7y0nh11Ge,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
Cveabf4KbL0NRN3u07,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
Cy9mSw3b19ml3htLRk,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
CNb48x1RsWqkcXj7N5,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
Ch00wl4T7ZvuKHTd9d,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
C91tbi2u5WqLRD4I1j,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
CkILy31vLdCI22rQL4,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
CEUigSpL3gEi5TzYb,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
CeFVUOa9fscGDQT73,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
CIz8xT3crZl8pWMbKd,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
C6jXBeTXpWmFeFsy9,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
Cxrii14LggN9v8eTZj,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
CS2zFv2skpV94shEXj,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
C4qMIj1ndKkFbsCfsk,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
CLM60C3Cb8hVakQJA3,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
CEo9CS3YmlLVTfiL08,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
CJjxk23H3Qabep0br,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
Ck4ESjZ22y0zzEGNg,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
CRS0hB2CTtHNebTZU2,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
CPMapr4atLUZnvpt7h,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
CRla2pCUS7gMMk6D7,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
CS4XEI2RHRHTKxb4N2,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
C4sEHLcUcevR03nlf,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
CvbcWd3HHbruzsqtB7,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
C9mMzg2AH0NHOB4lI,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
CsupoQ03bknhrUdZd,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
CYO3KB05zH4Dyf2Rf,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
CchxtO190Q2jYcKAc2,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
CojbJ71anFEkghxycf,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
CaMwMq5hGBalDR8r3,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
CRUXfx4yEhSu4MJZR2,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
CaEQSe1UmvUt1FIHic,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
Clu7ZX3u4t4z0ergHg,192.168.1.195,162.248.88.215,tcp,-,62336,0.0,0,0,0,0,0,0,0.0,1,-   Malicious   DDoS
